PUT session:{2156112252=>#<Bar:0x0000010103c6f0 @val1=1, @val2=2>}
POST session{2162773788=>#<Bar:0x00000101d29e38 @val1=1, @val2=2>}
PUT session:{2162773788=>#<Bar:0x00000101d16060 @val1=1, @val2=2>}
PUT session:{2162773788=>#<Bar:0x00000101d02870 @val1=1, @val2=2>}
POST session{2162595652=>#<Bar:0x00000101cd2e88 @val1=1, @val2=2>}
POST session{2162123376=>#<Bar:0x00000101bec4e0 @val1=1, @val2=2>}
POST session{2161829964=>#<Bar:0x00000101b5d098 @val1=1, @val2=2>}
PUT session:{2161829964=>#<Bar:0x00000101a72ba8 @val1=1, @val2=2>}
POST session{2160788140=>#<Bar:0x00000101960558 @val1=1, @val2=2>}
PUT session:{2160788140=>#<Bar:0x000001018b8e18 @val1=1, @val2=2>}
POST session{2157829100=>#<Bar:0x000001013bb7d8 @val1=1, @val2=2>}
POST session{2157719872=>#<Bar:0x00000101386280 @val1=1, @val2=2>}
POST session{2157610504=>#<Bar:0x00000101350c10 @val1=1, @val2=2>}
POST session{2157506344=>#<Bar:0x0000010131de50 @val1=1, @val2=2>}
POST session{2157463756=>#<Bar:0x00000101309198 @val1=1, @val2=2>}
POST session{2157418564=>#<Bar:0x000001012f3088 @val1=1, @val2=2>}
POST session{2157373988=>#<Bar:0x000001012dd448 @val1=1, @val2=2>}
POST session{2157337308=>#<Bar:0x000001012cb5b8 @val1=1, @val2=2>}
POST session{2157300544=>#<Bar:0x000001012b9680 @val1=1, @val2=2>}
get of 2157300544
POST session{2157119440=>#<Bar:0x00000101260fa0 @val1=1, @val2=2>}
POST session{2157082256=>#<Bar:0x0000010124ed20 @val1=1, @val2=2>}
PUT session:{2157082256=>#<Bar:0x0000010123e128 @val1=1, @val2=2>}
POST session{2156996464=>#<Bar:0x00000101224ee0 @val1=1, @val2=2>}
POST session{2156959728=>#<Bar:0x00000101212fe0 @val1=1, @val2=2>}
get of 2156959728
POST session{2156885752=>#<Bar:0x000001011eedf0 @val1=1, @val2=2>}
PUT session:{2156885752=>#<Bar:0x000001011db328 @val1=1, @val2=2>}
PUT session:{2156885752=>#<Bar:0x000001011c8318 @val1=1, @val2=2>}
POST session{2156759108=>#<Bar:0x000001011b1088 @val1=1, @val2=2>}
POST session{2156703248=>#<Bar:0x00000101195c20 @val1=1, @val2=2>}
POST session{2156666512=>#<Bar:0x00000101183d20 @val1=1, @val2=2>}
PUT session:{2156666512=>#<Bar:0x00000101173160 @val1=1, @val2=2>}
POST session{2156587356=>#<Bar:0x0000010115d2b8 @val1=1, @val2=2>}
PUT session:{2156587356=>#<Bar:0x00000101144f18 @val1=1, @val2=2>}
POST session{2156497420=>#<Bar:0x00000101131418 @val1=1, @val2=2>}
POST session{2156396508=>#<Bar:0x000001010fffb8 @val1=1, @val2=2>}
POST session{2156208936=>#<Bar:0x000001010a4650 @val1=1, @val2=2>}
POST session{2156093912=>#<Bar:0x0000010106c3b0 @val1=1, @val2=2>}
POST session{2155168512=>#<Bar:0x00000100ea8600 @val1=1, @val2=2>}
POST session{2154062484=>#<Bar:0x00000100c8c528 @val1=1, @val2=2>}
POST session{2153386732=>#<Bar:0x00000100b425d8 @val1=1, @val2=2>}
POST session{2153277196=>#<Bar:0x00000100b0ce18 @val1=1, @val2=2>}
POST session{2153021948=>#<Bar:0x00000100a903f8 @val1=1, @val2=2>}
get of 2153021948
POST session{2152731924=>#<Bar:0x00000100a02a28 @val1=1, @val2=2>}
POST session{2152621520=>#<Bar:0x000001009ccba0 @val1=1, @val2=2>}
PUT session:{2152621520=>#<Bar:0x000001009516f0 @val1=1, @val2=2>}
POST session{2152226076=>#<Bar:0x0000010090ba38 @val1=1, @val2=2>}
POST session{2155324052=>#<Bar:0x00000100ef4528 @val1=1, @val2=2>}
get of 2155324052
POST session{2162646444=>#<Bar:0x00000101cebb58 @val1=1, @val2=2>}
PUT session:{2162646444=>#<Bar:0x00000101fb12f0 @val1=1, @val2=2>}
PUT session:{2162646444=>#<Bar:0x00000101f9ab18 @val1=1, @val2=2>}
